Province,Weight,Value,Num. Transactions,Units,Month,Year,Av. Price
ALICANTE,21.48,51.49,14,12744,1,15,2.3971135940409685
BARCELONA,12.54,67.32,2,6600,1,15,5.368421052631579
CACERES,292.32,218.97,7,150678,1,15,0.7490763546798029
CORDOBA,914.87,2327.86,125,908285,1,15,2.544470799129931
LLEIDA,0.71,1.98,2,652,1,15,2.7887323943661975
MURCIA,62.32,108.46,16,38329,1,15,1.740372272143774
SEVILLA,3895.09,8855.61,391,3715157,1,15,2.273531548693355
ZARAGOZA,21.69,33.76,3,13040,1,15,1.5564776394651911
ALICANTE,24.71,58.51,5,12953,2,15,2.3678672602185347
CACERES,290.3,198.97,9,148908,2,15,0.6853944195659663
CORDOBA,706.88,1848.32,94,695616,2,15,2.614757808963332
LLEIDA,0.28,0.59,1,175,2,15,2.1071428571428568
MADRID,1.62,6.51,1,1615,2,15,4.018518518518518
MALAGA,6.8,21.16,3,6803,2,15,3.111764705882353
MURCIA,78.91,101.74,11,42622,2,15,1.2893169433531873
SEVILLA,4367.99,10898.98,463,4189024,2,15,2.495193441376926
VALENCIA,0.95,1.18,1,465,2,15,1.2421052631578948
ZARAGOZA,3.67,7.34,2,3669,2,15,2.0
ALICANTE,69.32,161.13,34,42704,3,15,2.3244373918061165
BADAJOZ,16.93,21.19,2,7257,3,15,1.2516243354991141
BARCELONA,6.27,33.66,1,3300,3,15,5.368421052631579
CACERES,308.45,248.59,16,157735,3,15,0.8059328902577404
CORDOBA,721.18,1919.82,88,700284,3,15,2.6620538561801492
MADRID,11.09,22.65,9,11085,3,15,2.042380522993688
MALAGA,54.87,89.09,6,54870,3,15,1.6236559139784947
MURCIA,105.29,130.86,11,56558,3,15,1.242853072466521
SEVILLA,6373.29,15373.17,595,6036013,3,15,2.4121246640275276
TARRAGONA,0.36,0.8,1,330,3,15,2.2222222222222223
VALENCIA,1.44,2.94,1,650,3,15,2.0416666666666665
ALICANTE,45.26,92.57,12,26602,4,15,2.045293857711003
BADAJOZ,19.41,12.36,2,11310,4,15,0.6367851622874806
CACERES,254.02,204.96,14,130703,4,15,0.806865601133769
CORDOBA,803.69,1883.34,104,793750,4,15,2.3433662232950514
LLEIDA,0.61,1.81,3,437,4,15,2.9672131147540983
MADRID,0.31,1.53,2,308,4,15,4.935483870967742
MALAGA,33.2,59.24,4,33203,4,15,1.7843373493975903
MURCIA,105.78,156.75,18,54974,4,15,1.4818491208167897
SEVILLA,5270.44,12927.53,539,5134680,4,15,2.452836954789354
TARRAGONA,0.05,0.5,1,48,4,15,10.0
ZARAGOZA,40.8,66.02,2,24360,4,15,1.6181372549019608
ALICANTE,59.77,85.26,21,34470,5,15,1.4264681278233227
BADAJOZ,0.03,0.02,1,25,5,15,0.6666666666666667
BARCELONA,1.47,0.72,1,965,5,15,0.4897959183673469
CACERES,222.62,179.2,10,115101,5,15,0.8049591231695264
CORDOBA,436.97,883.57,46,404902,5,15,2.0220381261871525
JAEN,0.0,0.01,1,2,5,15,0.0
LLEIDA,1.34,3.59,3,1154,5,15,2.67910447761194
MALAGA,36.69,61.33,4,36624,5,15,1.6715726355955303
MURCIA,205.61,277.74,23,114000,5,15,1.3508097855162686
SEVILLA,4866.08,11925.19,524,4703307,5,15,2.4506769309177
TARRAGONA,1.9,2.94,5,1188,5,15,1.5473684210526317
ZARAGOZA,3.04,8.21,4,2255,5,15,2.7006578947368425
ALICANTE,286.96,487.13,34,179161,6,15,1.6975536660161696
BADAJOZ,77.2,78.94,5,55280,6,15,1.022538860103627
CACERES,54.45,42.34,4,28311,6,15,0.7775941230486685
CORDOBA,537.7,1217.14,66,517955,6,15,2.2636042402826857
MADRID,0.29,1.1,1,292,6,15,3.7931034482758625
MALAGA,11.17,19.65,2,11170,6,15,1.7591763652641002
MURCIA,167.07,229.44,25,92531,6,15,1.3733165738911834
NAVARRA,0.21,0.91,2,207,6,15,4.333333333333334
SEVILLA,5755.48,12901.17,509,5519332,6,15,2.2415454488591746
TARRAGONA,0.57,1.46,1,337,6,15,2.56140350877193
VALENCIA,5.49,8.71,4,2627,6,15,1.586520947176685
ZARAGOZA,22.62,33.16,2,15340,6,15,1.4659593280282934
ALICANTE,418.29,680.09,56,262777,7,15,1.6258815654211194
BADAJOZ,50.32,48.17,5,30165,7,15,0.9572734499205088
CACERES,344.74,273.49,18,177878,7,15,0.7933225039159947
CORDOBA,552.56,1567.81,61,536046,7,15,2.8373570291009123
LLEIDA,11.27,17.38,2,7007,7,15,1.5421472937000886
MADRID,1.05,1.88,1,1048,7,15,1.7904761904761903
MALAGA,55.33,98.33,11,55329,7,15,1.7771552503162842
MURCIA,163.49,199.56,22,91384,7,15,1.2206251146859135
SEVILLA,6745.6,15245.1,596,6551956,7,15,2.2600065227703983
TARRAGONA,0.03,0.28,1,14,7,15,9.333333333333334
ZARAGOZA,20.16,37.13,1,10920,7,15,1.841765873015873
ALICANTE,163.04,256.23,28,101796,8,15,1.5715775269872425
BADAJOZ,30.76,30.45,2,17704,8,15,0.9899219765929779
CACERES,90.72,71.06,5,47175,8,15,0.783289241622575
CADIZ,31.48,90.59,6,26908,8,15,2.877700127064803
CORDOBA,349.41,902.32,50,338920,8,15,2.582410348873816
MALAGA,0.03,0.14,2,33,8,15,4.666666666666667
MURCIA,27.64,71.09,9,17271,8,15,2.571997105643994
NAVARRA,0.89,3.16,6,885,8,15,3.5505617977528092
SEVILLA,4543.01,10920.18,427,4379216,8,15,2.4037323272455926
TARRAGONA,0.24,0.53,1,240,8,15,2.2083333333333335
ZARAGOZA,1.94,5.33,4,1259,8,15,2.747422680412371
ALICANTE,307.54,517.57,33,191914,9,15,1.682935553098784
BADAJOZ,20.18,14.58,2,12656,9,15,0.7224975222993063
CACERES,108.86,87.92,6,55945,9,15,0.807642844019842
CORDOBA,576.99,1422.8,79,562330,9,15,2.465900622194492
JAEN,0.04,0.17,1,40,9,15,4.25
LLEIDA,0.35,0.71,1,330,9,15,2.0285714285714285
MADRID,16.08,42.82,5,16079,9,15,2.662935323383085
MURCIA,130.1,157.03,14,73526,9,15,1.2069946195234436
SEVILLA,6249.19,14178.11,531,6010149,9,15,2.2687916353959476
ZARAGOZA,1.32,4.2,1,1321,9,15,3.1818181818181817
ALICANTE,360.16,577.52,46,229744,10,15,1.6035095513105284
BADAJOZ,85.55,98.94,6,49363,10,15,1.1565166569257743
BARCELONA,0.04,0.06,1,27,10,15,1.5
CACERES,224.48,201.44,15,111594,10,15,0.8973627940128297
CORDOBA,660.26,1474.87,81,632025,10,15,2.2337715445430586
JAEN,5.5,13.91,1,5500,10,15,2.5290909090909093
LLEIDA,13.03,21.11,3,8180,10,15,1.6201074443591712
MADRID,9.36,18.66,5,9364,10,15,1.9935897435897438
MURCIA,107.02,150.83,14,63169,10,15,1.409362735937208
NAVARRA,0.11,0.55,2,111,10,15,5.0
SEVILLA,6778.23,15099.43,548,6575021,10,15,2.2276361232947246
VALENCIA,9.28,18.52,2,9278,10,15,1.995689655172414
ZARAGOZA,0.9,2.06,2,500,10,15,2.2888888888888888
ALICANTE,316.52,522.41,36,196908,11,15,1.6504802224188044
ALMERIA,38.76,94.79,4,38764,11,15,2.4455624355005163
BADAJOZ,93.93,87.72,7,51467,11,15,0.9338869370808047
CACERES,359.51,317.46,18,180787,11,15,0.8830352424132847
CORDOBA,773.94,1767.21,89,739817,11,15,2.283394061555159
LLEIDA,0.81,1.69,2,490,11,15,2.0864197530864197
MADRID,0.95,3.33,2,934,11,15,3.505263157894737
MURCIA,177.9,227.09,21,98713,11,15,1.276503653738055
PONTEVEDRA,1.04,4.48,4,1038,11,15,4.307692307692308
SEVILLA,5241.63,11555.16,439,4932590,11,15,2.204497455944048
VIZCAYA,0.22,1.32,1,216,11,15,6.0
ZARAGOZA,43.36,73.99,4,25780,11,15,1.706411439114391
ALICANTE,206.31,272.93,14,120243,12,15,1.3229121225340508
ALMERIA,55.26,137.15,7,55261,12,15,2.4819037278320666
BADAJOZ,18.75,17.54,1,9434,12,15,0.9354666666666667
CACERES,181.44,170.0,11,92896,12,15,0.9369488536155203
CORDOBA,526.19,1169.03,49,445468,12,15,2.221687983428039
LLEIDA,1.44,4.18,2,1440,12,15,2.9027777777777777
MADRID,1.05,4.19,2,1052,12,15,3.9904761904761905
MURCIA,181.36,223.08,21,98671,12,15,1.2300397000441112
SEVILLA,5150.8,11797.88,406,4749670,12,15,2.2904946804379898
TARRAGONA,0.08,0.37,2,74,12,15,4625
VALENCIA,0.49,1.55,2,486,12,15,3.163265306122449
ALAVA,0.29,0.02,1,140,1,16,0.06896551724137932
ALICANTE,404.28,643.04,38,247763,1,16,1.5905807855941427
BADAJOZ,90.72,75.2,5,47174,1,16,0.8289241622574957
CACERES,297.39,269.51,10,150069,1,16,0.9062510508087024
CORDOBA,478.87,1111.16,49,459154,1,16,2.320379226094765
LLEIDA,0.06,0.12,1,37,1,16,2.0
MADRID,2.96,4.96,2,2960,1,16,1.6756756756756757
MALAGA,0.75,3.44,1,753,1,16,4.586666666666667
MURCIA,31.14,39.73,2,15929,1,16,1.2758509955041746
PONTEVEDRA,0.75,3.59,1,753,1,16,4.786666666666666
SEVILLA,4333.78,8668.26,308,3283939,1,16,2.0001615218123674
VALENCIA,1.75,5.47,1,1100,1,16,3.1257142857142854
ZARAGOZA,6.39,15.56,4,5680,1,16,2.435054773082942
ALICANTE,402.5,839.55,35,237737,2,16,2.08583850931677
ALMERIA,9.88,22.62,2,9878,2,16,2.289473684210526
BADAJOZ,19.4,20.2,1,12320,2,16,1.041237113402062
BARCELONA,0.2,0.37,1,76,2,16,1.8499999999999999
CACERES,594.79,566.59,16,299777,2,16,0.9525883084786229
CADIZ,0.0,0.01,1,3,2,16,0.0
CORDOBA,685.59,1895.77,83,661179,2,16,2.7651657696290783
GRANADA,0.65,1.8,1,647,2,16,2.769230769230769
LLEIDA,0.31,0.97,2,251,2,16,3.129032258064516
MADRID,16.1,34.87,2,10023,2,16,2.16583850931677
MALAGA,0.98,1.66,1,423,2,16,1.693877551020408
MURCIA,98.23,147.65,7,53780,2,16,1.5031049577522142
SEVILLA,7280.84,14088.46,448,5570324,2,16,1.935004752198922
ZARAGOZA,41.15,67.13,3,24708,2,16,1.63134872417983
ALICANTE,543.64,760.87,43,342032,3,16,1.399584283717166
BADAJOZ,76.3,71.69,4,43509,3,16,0.9395806028833552
CACERES,496.85,490.02,20,253017,3,16,0.9862533963973029
CORDOBA,561.56,1276.99,56,521277,3,16,2.2740045587292546
LLEIDA,0.45,1.09,2,290,3,16,2.4222222222222225
